SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2518,Apple,AAPL,2010-03-01 23:59:59,29.9286,29.35,29.3928,29.8557,137312041.0,0.0
2517,Apple,AAPL,2010-03-02 23:59:59,30.1186,29.6771,29.99,29.8357,141486282.0,0.0
2516,Apple,AAPL,2010-03-03 23:59:59,29.9814,29.7057,29.8486,29.9043,92846488.0,0.0
2515,Apple,AAPL,2010-03-04 23:59:59,30.1314,29.8043,29.8971,30.1014,89591907.0,0.0
2514,Apple,AAPL,2010-03-05 23:59:59,31.3857,30.6614,30.7057,31.2786,224647427.0,0.0
2513,Apple,AAPL,2010-03-08 23:59:59,31.4414,31.1786,31.43,31.2971,107326832.0,0.0
2512,Apple,AAPL,2010-03-09 23:59:59,32.1428,31.1271,31.1871,31.86,229908139.0,0.0
2511,Apple,AAPL,2010-03-10 23:59:59,32.2114,31.8857,31.9757,32.12,148907755.0,0.0
2510,Apple,AAPL,2010-03-11 23:59:59,32.2143,31.9028,31.9871,32.2143,101209110.0,0.0
2509,Apple,AAPL,2010-03-12 23:59:59,32.5328,32.25,32.4814,32.3714,103841951.0,0.0
2508,Apple,AAPL,2010-03-15 23:59:59,32.2143,31.4643,32.1971,31.9771,123005437.0,0.0
2507,Apple,AAPL,2010-03-16 23:59:59,32.14,31.7871,32.0257,32.0643,111581993.0,0.0
2506,Apple,AAPL,2010-03-17 23:59:59,32.35,31.8957,32.1286,32.0171,112501374.0,0.0
2505,Apple,AAPL,2010-03-18 23:59:59,32.1428,31.8014,32.0143,32.0928,85156076.0,0.0
2504,Apple,AAPL,2010-03-19 23:59:59,32.1771,31.6043,32.1128,31.75,139669082.0,0.0
2503,Apple,AAPL,2010-03-22 23:59:59,32.2857,31.45,31.4957,32.1071,113828294.0,0.0
2502,Apple,AAPL,2010-03-23 23:59:59,32.6828,32.0143,32.2343,32.6228,150384825.0,0.0
2501,Apple,AAPL,2010-03-24 23:59:59,32.8857,32.5014,32.52,32.7671,149419805.0,0.0
2500,Apple,AAPL,2010-03-25 23:59:59,32.9957,32.3214,32.9886,32.3786,135463131.0,0.0
2499,Apple,AAPL,2010-03-26 23:59:59,33.1357,32.65,32.7071,32.9857,159986658.0,0.0
2498,Apple,AAPL,2010-03-29 23:59:59,33.41,33.0886,33.2857,33.1986,130887089.0,0.0
2497,Apple,AAPL,2010-03-30 23:59:59,33.9257,33.4643,33.8004,33.6921,131326339.0,0.0
2496,Apple,AAPL,2010-03-31 23:59:59,33.8014,33.4943,33.6414,33.5714,107438412.0,0.0
2495,Apple,AAPL,2010-04-01 23:59:59,34.1043,33.25,33.9271,33.71,150568295.0,0.0
2494,Apple,AAPL,2010-04-05 23:59:59,34.0728,33.5386,33.5678,34.07,170363601.0,0.0
2493,Apple,AAPL,2010-04-06 23:59:59,34.32,33.8571,34.0286,34.22,111431983.0,0.0
2492,Apple,AAPL,2010-04-07 23:59:59,34.56,34.0943,34.2457,34.3714,156909177.0,0.0
2491,Apple,AAPL,2010-04-08 23:59:59,34.5057,34.0057,34.3486,34.2786,142899723.0,0.0
2490,Apple,AAPL,2010-04-09 23:59:59,34.5557,34.3514,34.49,34.5414,83443105.0,0.0
2489,Apple,AAPL,2010-04-12 23:59:59,34.7243,34.5443,34.6,34.6128,83236885.0,0.0
2488,Apple,AAPL,2010-04-13 23:59:59,34.6857,34.4443,34.5514,34.6328,76184103.0,0.0
2487,Apple,AAPL,2010-04-14 23:59:59,35.1157,34.8671,35.04,35.0986,100827750.0,0.0
2486,Apple,AAPL,2010-04-15 23:59:59,35.5757,35.0728,35.1114,35.56,93876048.0,0.0
2485,Apple,AAPL,2010-04-16 23:59:59,35.8771,34.9357,35.51,35.3428,187514026.0,0.0
2484,Apple,AAPL,2010-04-19 23:59:59,35.4128,34.5386,35.29,35.2957,141571402.0,0.0
2483,Apple,AAPL,2010-04-20 23:59:59,35.6071,34.7078,35.5057,34.9414,177792843.0,0.0
2482,Apple,AAPL,2010-04-21 23:59:59,37.1786,36.5328,36.9721,37.0314,245072944.0,0.0
2481,Apple,AAPL,2010-04-22 23:59:59,38.1071,36.6,36.8914,38.0671,197849809.0,0.0
2480,Apple,AAPL,2010-04-23 23:59:59,38.8828,38.1428,38.2843,38.69,198906390.0,0.0
2479,Apple,AAPL,2010-04-26 23:59:59,38.9228,38.3128,38.84,38.5,119378876.0,0.0
2478,Apple,AAPL,2010-04-27 23:59:59,38.2628,37.2171,38.1814,37.4343,176955713.0,0.0
2477,Apple,AAPL,2010-04-28 23:59:59,37.7143,36.63,37.6071,37.3714,189375537.0,0.0
2476,Apple,AAPL,2010-04-29 23:59:59,38.5714,37.43,37.5743,38.3771,139522502.0,0.0
2475,Apple,AAPL,2010-04-30 23:59:59,38.6528,37.2857,38.4728,37.2986,135421971.0,0.0
2474,Apple,AAPL,2010-05-03 23:59:59,38.2686,37.5543,37.6914,38.05,113343684.0,0.0
2473,Apple,AAPL,2010-05-04 23:59:59,37.6128,36.6786,37.5557,36.9543,180620564.0,0.0
2472,Apple,AAPL,2010-05-05 23:59:59,36.8771,35.5328,36.1471,36.5693,220353346.0,0.0
2471,Apple,AAPL,2010-05-06 23:59:59,36.8928,28.4643,36.2614,35.1786,319584886.0,0.0
2470,Apple,AAPL,2010-05-07 23:59:59,35.2243,32.1728,34.8157,33.6943,418562326.0,0.0
2469,Apple,AAPL,2010-05-10 23:59:59,36.3786,35.5043,35.75,36.2843,245539284.0,0.0
2468,Apple,AAPL,2010-05-11 23:59:59,37.1271,35.7857,35.9771,36.6457,212068004.0,0.0
2467,Apple,AAPL,2010-05-12 23:59:59,37.59,36.9571,37.035,37.4414,163385299.0,0.0
2466,Apple,AAPL,2010-05-13 23:59:59,37.8571,36.6286,37.6028,36.9086,149704075.0,0.0
2465,Apple,AAPL,2010-05-14 23:59:59,36.64,35.6428,36.4521,36.26,189368537.0,0.0
2464,Apple,AAPL,2010-05-17 23:59:59,36.5971,35.3871,36.3857,36.3171,190413707.0,0.0
2463,Apple,AAPL,2010-05-18 23:59:59,36.9357,35.7514,36.7114,36.0514,194856888.0,0.0
2462,Apple,AAPL,2010-05-19 23:59:59,36.1314,34.9786,35.6428,35.4771,256089547.0,0.0
2461,Apple,AAPL,2010-05-20 23:59:59,34.8357,33.7443,34.5543,33.9657,319497456.0,0.0
2460,Apple,AAPL,2010-05-21 23:59:59,34.9286,33.05,33.26,34.6171,305744272.0,0.0
2459,Apple,AAPL,2010-05-24 23:59:59,35.8428,35.18,35.3257,35.2514,188078156.0,0.0
2458,Apple,AAPL,2010-05-25 23:59:59,35.2514,33.88,34.1928,35.0314,261342838.0,0.0
2457,Apple,AAPL,2010-05-26 23:59:59,36.0186,34.8214,35.7257,34.8727,212125404.0,0.0
2456,Apple,AAPL,2010-05-27 23:59:59,36.27,35.5871,35.8,36.1928,165270400.0,0.0
2455,Apple,AAPL,2010-05-28 23:59:59,37.0571,36.1928,37.0554,36.6971,203645811.0,0.0
2454,Apple,AAPL,2010-06-01 23:59:59,37.9914,36.9943,37.0986,37.2614,218455576.0,0.0
2453,Apple,AAPL,2010-06-02 23:59:59,37.8286,37.1907,37.7914,37.7071,171594061.0,0.0
2452,Apple,AAPL,2010-06-03 23:59:59,37.9357,37.2014,37.8828,37.5886,162341809.0,0.0
2451,Apple,AAPL,2010-06-04 23:59:59,37.4143,36.3757,36.8871,36.5664,189045767.0,0.0
2450,Apple,AAPL,2010-06-07 23:59:59,37.0214,35.7928,36.8986,35.8486,221253336.0,0.0
2449,Apple,AAPL,2010-06-08 23:59:59,36.2571,35.0928,36.1771,35.6186,249904415.0,0.0
2448,Apple,AAPL,2010-06-09 23:59:59,35.9857,34.6414,35.9243,34.7428,213040094.0,0.0
2447,Apple,AAPL,2010-06-10 23:59:59,35.8543,34.6,34.9771,35.7871,193507918.0,0.0
2446,Apple,AAPL,2010-06-11 23:59:59,36.2657,35.3386,35.4607,36.2157,136154451.0,0.0
2445,Apple,AAPL,2010-06-14 23:59:59,37.0214,36.2871,36.5657,36.3257,150469315.0,0.0
2444,Apple,AAPL,2010-06-15 23:59:59,37.1214,36.5,36.52,37.0986,145862054.0,0.0
2443,Apple,AAPL,2010-06-16 23:59:59,38.25,37.2329,37.3,38.1786,195557169.0,0.0
2442,Apple,AAPL,2010-06-17 23:59:59,38.9857,38.5,38.6571,38.8386,217872895.0,0.0
2441,Apple,AAPL,2010-06-18 23:59:59,39.2857,38.7743,38.8928,39.1534,195928029.0,0.0
2440,Apple,AAPL,2010-06-21 23:59:59,39.8586,38.39,39.67,38.5957,193217628.0,0.0
2439,Apple,AAPL,2010-06-22 23:59:59,39.4243,38.7857,38.88,39.1214,178776694.0,0.0
2438,Apple,AAPL,2010-06-23 23:59:59,39.2371,38.2714,39.2257,38.71,191838418.0,0.0
2437,Apple,AAPL,2010-06-24 23:59:59,39.0278,38.3,38.7143,38.4286,178309303.0,0.0
2436,Apple,AAPL,2010-06-25 23:59:59,38.61,37.9728,38.58,38.1,136678611.0,0.0
2435,Apple,AAPL,2010-06-28 23:59:59,38.5357,37.7886,38.1328,38.3286,146186434.0,0.0
2434,Apple,AAPL,2010-06-29 23:59:59,37.77,36.3286,37.7316,36.5957,282782865.0,0.0
